CODUSU;ANO4;TRIMESTRE;NRO_HOGAR;REALIZADA;REGION;MAS_500;AGLOMERADO;PONDERA;IV1;IV1_ESP;IV2;IV3;IV3_ESP;IV4;IV5;IV6;IV7;IV7_ESP;IV8;IV9;IV10;IV11;IV12_1;IV12_2;IV12_3;II1;II2;II3;II3_1;II4_1;II4_2;II4_3;II5;II5_1;II6;II6_1;II7;II7_ESP;II8;II8_ESP;II9;V1;V2;V21;V22;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19_A;V19_B;IX_TOT;IX_MEN10;IX_MAYEQ10;ITF;DECIFR;IDECIFR;RDECIFR;GDECIFR;PDECIFR;ADECIFR;IPCF;DECCFR;IDECCFR;RDECCFR;GDECCFR;PDECCFR;ADECCFR;PONDIH;VII1_1;VII1_2;VII2_1;VII2_2;VII2_3;VII2_4;TIPO_HOGAR
TQRMNOTXWHLLLOCDEFOCD00809440;2024;3;1;1;41;N;8;392;1;;4;1;;4;1;1;1;;1;1;1;2;2;2;2;4;3;2;0;1;2;2;2;0;2;0;1;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;4;0;4;0;12;12;12;;12;12;0;12;12;12;;12;12;0;1;2;98;0;0;0;Nuclear
TQRMNOQYYHKMKQCDEFOCD00872156;2024;3;1;1;41;N;8;198;1;;1;2;;4;1;2;1;;1;1;2;2;2;2;2;1;1;2;0;1;2;2;2;0;2;0;1;;2;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;1;0;1;230000;1;1;1;;1;2;230000;3;3;5;;4;6;198;1;0;98;0;0;0;Unipersonal
TQRMNOSTTHMMLNCDEIOAH00813198;2024;3;1;1;43;N;38;123;1;;2;2;;2;2;1;1;;1;1;1;1;2;2;2;2;1;2;0;1;2;2;2;0;2;0;1;;2;;1;2;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;375000;2;2;2;;2;2;375000;6;6;5;;6;6;153;1;0;98;0;0;0;Unipersonal
TQRMNOQUXHJMKQCDEFJAH00866566;2024;3;1;1;43;N;3;242;1;;3;1;;2;1;1;1;;1;1;1;1;2;2;2;3;2;2;0;1;1;2;2;0;2;0;3;;2;;1;1;1;2;1;2;2;1;2;2;2;2;2;2;2;2;2;1;1;1;2;2;2;3;0;3;811300;5;5;5;;6;5;270433,33;4;4;4;;5;3;516;2;0;1;3;0;0;Nuclear
TQRMNOPYVHLMKUCDEFJAH00808718;2024;3;1;1;43;N;3;338;2;;5;1;;4;1;1;1;;1;1;1;1;2;2;2;5;4;1;1;1;1;2;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;5;2;3;0;12;12;12;;12;12;0;12;12;12;;12;12;0;2;3;98;0;0;0;Extendido
TQRMNORRSHKOKTCDEFJAH00871906;2024;3;1;1;43;N;3;587;1;;3;1;;3;1;1;1;;1;1;1;1;2;2;2;3;2;2;0;1;1;2;2;0;2;0;4;;1;;1;1;2;2;2;2;2;1;2;2;2;2;2;2;1;1;2;2;2;1;2;2;2;3;2;1;780000;5;5;5;;5;5;260000;4;4;3;;4;3;499;1;0;97;0;0;0;Nuclear
TQRMNOQWVHLMKSCDEIOAH00808192;2024;3;1;1;43;N;38;165;1;;4;1;;1;1;1;1;;1;1;1;1;2;2;2;4;1;2;0;1;1;1;2;0;2;0;1;;1;;1;2;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;600000;3;4;3;;4;4;600000;8;8;8;;9;8;195;2;0;98;0;0;0;Unipersonal
TQRMNOSVWHJMLMCDEIOAH00866252;2024;3;1;1;43;N;38;201;1;;3;1;;4;1;1;1;;1;1;1;1;2;2;2;3;3;2;0;1;2;2;2;0;2;0;1;;2;;1;1;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;5;1;4;489000;2;3;3;;3;3;97800;1;1;1;;1;1;299;1;0;3;0;0;0;Extendido
TQRMNORSWHLOLLCDEIOAH00808178;2024;3;1;1;43;N;38;109;1;;2;1;;4;1;1;1;;1;1;1;1;2;2;2;2;2;2;0;1;2;2;2;0;2;0;6;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;1400000;8;8;8;;8;8;1400000;10;10;10;;10;10;129;1;0;98;0;0;0;Unipersonal
TQRMNOQRWHLMLMCDEIOAH00808179;2024;3;1;1;43;N;38;169;1;;1;1;;1;2;1;1;;1;1;1;1;2;2;2;1;1;2;0;1;2;2;2;0;2;0;6;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;400000;2;2;2;;2;2;200000;3;3;3;;3;3;222;2;0;98;0;0;0;Nuclear
TQRMNOPUWHKMLNCDEIOAH00871907;2024;3;1;1;43;N;38;152;1;;2;1;;4;1;1;1;;1;1;1;1;2;2;2;2;1;1;1;1;1;2;2;0;2;0;1;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;1;0;1;1600000;8;9;9;;9;9;1600000;10;10;10;;10;10;187;1;0;98;0;0;0;Unipersonal
