CODUSU;ANO4;TRIMESTRE;NRO_HOGAR;REALIZADA;REGION;MAS_500;AGLOMERADO;PONDERA;IV1;IV1_ESP;IV2;IV3;IV3_ESP;IV4;IV5;IV6;IV7;IV7_ESP;IV8;IV9;IV10;IV11;IV12_1;IV12_2;IV12_3;II1;II2;II3;II3_1;II4_1;II4_2;II4_3;II5;II5_1;II6;II6_1;II7;II7_ESP;II8;II8_ESP;II9;V1;V2;V21;V22;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19_A;V19_B;IX_TOT;IX_MEN10;IX_MAYEQ10;ITF;DECIFR;IDECIFR;RDECIFR;GDECIFR;PDECIFR;ADECIFR;IPCF;DECCFR;IDECCFR;RDECCFR;GDECCFR;PDECCFR;ADECCFR;PONDIH;VII1_1;VII1_2;VII2_1;VII2_2;VII2_3;VII2_4;DENSIDAD_HOGAR
TQRMNORRUHJOLLCDEGLDF00793484;2024;1;1;1;41;N;15;116;1;;3;1;;4;1;1;1;;1;1;1;1;2;2;2;3;3;2;0;1;1;1;2;0;2;0;6;;2;;1;1;1;2;2;2;2;1;2;2;2;2;2;2;2;1;1;1;1;2;2;2;2;3;0;3;634800;7;7;9;;7;9;211600;6;6;8;;6;9;173;1;0;98;0;0;0;MEDIO
TQTMNOPWUHJMLMCDEGLDF00858813;2024;1;1;1;41;N;15;132;2;;1;1;;4;1;1;1;;1;1;1;1;2;2;2;1;1;2;0;2;2;2;0;0;0;0;6;;2;;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;1;2;216000;2;2;3;;2;2;72000;2;2;2;;2;2;163;2;0;98;0;0;0;ALTO
TQRMNORPSHJMLMCDEGLDF00800032;2024;1;1;1;41;N;15;342;2;;1;1;;2;2;1;1;;1;1;1;1;2;2;2;1;1;2;0;1;2;2;1;1;2;0;3;;2;;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;6;3;3;378000;4;4;5;;4;5;63000;1;1;2;;1;2;358;5;0;6;0;0;0;ALTO
TQRMNORPTHJMLMCDEGLDF00793447;2024;1;1;1;41;N;15;143;2;;2;1;;4;1;1;1;;1;1;1;1;2;2;2;2;2;2;0;1;1;2;2;0;2;0;3;;2;;1;1;1;1;2;2;2;1;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;4;1;3;333000;4;4;5;;4;5;83250;2;2;3;;2;3;175;4;0;5;6;0;0;MEDIO
TQSMNOURVHKOLOCDEGLDF00858814;2024;1;1;1;41;N;15;553;2;;2;2;;4;2;1;1;;1;1;1;1;2;2;2;2;2;2;0;1;2;2;2;0;2;0;6;;2;;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;4;2;2;487000;5;6;7;;6;7;121750;3;3;4;;4;5;627;1;0;2;0;0;0;MEDIO
TQRMNOURWHKOLOCDEGLDF00858815;2024;1;1;1;41;N;15;564;1;;1;1;;4;1;1;1;;1;1;1;1;2;2;2;1;1;2;0;1;1;2;2;0;2;0;1;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;1;2;2;2;2;5;1;4;338000;4;4;5;;4;5;67600;1;1;2;;2;2;589;1;0;2;0;0;0;ALTO
TQRMNOSVQHLNKNCDEIGED00854578;2024;1;1;1;43;N;30;115;2;;2;1;;4;1;1;1;;1;1;1;1;2;2;2;2;1;2;0;1;2;2;2;0;2;0;3;;2;;1;2;2;2;2;2;2;1;2;2;2;2;2;2;1;1;1;2;2;2;2;2;2;3;1;2;79000;1;1;1;;1;1;26333,33;1;1;1;;1;1;93;1;0;98;0;0;0;MEDIO
TQRMNORTVHLMKOCDEIGED00854580;2024;1;1;1;43;N;30;109;1;;1;2;;2;2;1;1;;1;2;1;1;2;2;2;1;1;2;0;1;2;2;1;1;2;0;3;;2;;1;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;600000;6;7;7;;7;6;600000;10;10;10;;10;9;141;1;0;98;0;0;0;MEDIO
TQRMNOQUSHJMKPCDEIGED00793489;2024;1;2;1;43;N;30;157;1;;4;1;;4;1;1;1;;1;1;1;1;2;2;2;4;2;2;0;1;2;1;2;0;2;0;3;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;2;2;2;2;4;0;4;1300000;9;10;10;;10;9;325000;8;8;8;;8;7;216;1;2;98;0;0;0;MEDIO
TQRMNORPTHJNLLCDEGNFJ00797705;2024;1;1;1;44;N;17;228;1;;3;1;;4;1;1;1;;1;1;1;1;2;2;2;3;3;2;0;1;1;1;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;0;1;0;12;12;12;;12;12;0;12;12;12;;12;12;0;1;0;98;0;0;0;BAJO
